ACC_YEAR,SGG_CD,SGG_NM,BJDONG_CD,BJDONG_NM,LAND_GBN,LAND_GBN_NM,BONBEON,BUBEON,BLDG_NM,DEAL_YMD,OBJ_AMT,BLDG_AREA,TOT_AREA,FLOOR,RIGHT_GBN,CNTL_YMD,BUILD_YEAR,HOUSE_TYPE,REQ_GBN,RDEALER_LAWDNM
2024,11590,동작구,10800,대방동,1,대지,0403,0016,골든노블레스,2024-01-03,25750,18.01,0.0,11.0,,,2023,아파트,직거래,
2024,11500,강서구,10300,화곡동,1,대지,0024,0338,진솔빌라트,2024-01-03,26000,43.67,26.96,6.0,,,2015,연립다세대,직거래,
2024,11500,강서구,10300,화곡동,1,대지,1111,0003,경동엠파이어스테이트,2024-01-03,11500,18.61,28.73,11.0,,,2012,오피스텔,직거래,
2024,11590,동작구,10800,대방동,1,대지,0403,0016,골든노블레스,2024-01-03,25750,18.01,0.0,12.0,,,2023,아파트,직거래,
2024,11590,동작구,10800,대방동,1,대지,0403,0016,골든노블레스,2024-01-03,25750,18.01,0.0,13.0,,,2023,아파트,직거래,
2024,11380,은평구,10400,갈현동,1,대지,0472,0006,경인에버빌(472-6),2024-01-03,14200,29.86,18.52,4.0,,,2015,연립다세대,직거래,
2024,11590,동작구,10800,대방동,1,대지,0403,0016,골든노블레스,2024-01-03,24750,18.01,0.0,3.0,,,2023,아파트,직거래,
2024,11380,은평구,10600,대조동,1,대지,0179,0047,파라곤하임,2024-01-03,25300,58.41,70.37,2.0,,,2015,오피스텔,직거래,
2024,11590,동작구,10800,대방동,1,대지,0403,0016,골든노블레스,2024-01-03,24950,18.01,0.0,4.0,,,2023,아파트,직거래,
2024,11590,동작구,10800,대방동,1,대지,0403,0016,골든노블레스,2024-01-03,24750,18.01,0.0,3.0,,,2023,아파트,직거래,
2024,11590,동작구,10800,대방동,1,대지,0403,0016,골든노블레스,2024-01-03,25750,18.01,0.0,9.0,,,2023,아파트,직거래,
2024,11590,동작구,10800,대방동,1,대지,0403,0016,골든노블레스,2024-01-03,25750,18.01,0.0,7.0,,,2023,아파트,직거래,
2024,11590,동작구,10800,대방동,1,대지,0403,0016,골든노블레스,2024-01-03,24950,18.01,0.0,4.0,,,2023,아파트,직거래,
2024,11590,동작구,10800,대방동,1,대지,0403,0016,골든노블레스,2024-01-03,25250,18.01,0.0,5.0,,,2023,아파트,직거래,
2024,11530,구로구,10800,오류동,1,대지,0006,0217,대흥아트빌,2024-01-03,24900,53.38,30.49,2.0,,20240103,2013,연립다세대,중개거래,서울 구로구
2024,11590,동작구,10800,대방동,1,대지,0403,0016,골든노블레스,2024-01-03,25750,18.01,0.0,8.0,,,2023,아파트,직거래,
